experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,jackpot_share,class11_share,class12_share,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,173,360598,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8703960000.0,5048960000.0,73,118,7,476099999.99999994,0.0,120000000.0,94299999.99999999,50929299.99999999,8703960.0,16392563.05214044,16392563.05214044,13.434782608695652,94,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,174,360599,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8739465000.0,5084465000.0,68,63,5,252799999.99999994,0.0,120000000.0,45099999.99999999,47640199.99999999,8739465.0,17304913.21529163,17304913.21529163,13.91044776119403,53,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,175,360600,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8751755000.0,5096755000.0,73,127,9,510800000.0,0.0,120000000.0,28699999.999999996,51285499.99999999,8751755.0,16446650.05540566,16446650.05540566,13.242857142857142,69,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,176,360601,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8670430000.0,5015430000.0,88,88,5,355299999.99999994,0.0,120000000.0,120000000.0,44432799.99999999,8670430.0,15353896.497798204,15353896.497798204,11.4,54,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,177,360602,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8712725000.0,5057725000.0,63,140,9,564100000.0,0.0,120000000.0,12299999.999999998,54924199.99999999,8712725.0,16949667.92150734,16949667.92150734,15.112903225806452,61,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,178,360603,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8748990000.0,5093990000.0,71,105,8,421699999.99999994,0.0,120000000.0,12299999.999999998,50680199.99999999,8748990.0,16926243.11623521,16926243.11623521,14.515625,69,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,179,360604,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8751725000.0,5096725000.0,68,134,12,536199999.99999994,0.0,120000000.0,24599999.999999996,54422299.99999999,8751725.0,17088077.723938845,17088077.723938845,14.338461538461539,61,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,180,360605,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8721785000.0,5066785000.0,77,131,9,527199999.99999994,0.0,120000000.0,28699999.999999996,51511299.99999999,8721785.0,16333659.314090488,16333659.314090488,12.819444444444445,57,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,181,360606,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8661635000.0,5006635000.0,63,102,12,404999999.99999994,0.0,120000000.0,114799999.99999999,55383399.99999999,8661635.0,17790781.91794208,17790781.91794208,15.616666666666667,58,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,182,360607,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8689630000.0,5034630000.0,61,91,9,363199999.99999994,0.0,120000000.0,102499999.99999999,52115099.99999999,8689630.0,17371912.007982884,17371912.007982884,15.915254237288135,59,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,183,360608,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8753215000.0,5098215000.0,65,133,8,536500000.0,0.0,120000000.0,8199999.999999999,54224699.99999999,8753215.0,16994567.40810942,16994567.40810942,14.609375,81,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,184,360609,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8704060000.0,5049060000.0,79,111,6,448499999.99999994,0.0,120000000.0,40999999.99999999,49278599.99999999,8704060.0,16348752.46361018,16348752.46361018,12.616438356164384,56,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,185,360610,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8709815000.0,5054815000.0,70,90,5,363499999.99999994,0.0,120000000.0,49199999.99999999,46739199.99999999,8709815.0,16229529.487658443,16229529.487658443,13.880597014925373,76,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,186,360611,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8602280000.0,4947280000.0,57,181,11,730000000.0,0.0,120000000.0,120000000.0,58886699.99999999,8602280.0,16448264.79302908,16448264.79302908,18.134615384615383,82,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,187,360612,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8755480000.0,5100480000.0,67,79,5,318399999.99999994,0.0,120000000.0,49199999.99999999,48891899.99999999,8755480.0,17132949.094350334,17132949.094350334,14.578125,66,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,188,360613,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8635645000.0,4980645000.0,65,117,10,468699999.99999994,0.0,120000000.0,102499999.99999999,52532099.99999999,8635645.0,16896160.155756544,16896160.155756544,15.080645161290322,68,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,189,360614,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8809160000.0,5154160000.0,81,56,9,219699999.99999988,0.0,120000000.0,0.0,45996299.99999999,8809160.0,17261119.187190615,17261119.187190615,12.76388888888889,40,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,190,360615,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8808840000.0,5153840000.0,70,59,10,230899999.99999988,0.0,120000000.0,0.0,48081299.99999999,8808840.0,17740078.792226374,17740078.792226374,14.307692307692308,64,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,191,360616,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8785400000.0,5130400000.0,72,79,8,315099999.99999994,0.0,120000000.0,0.0,47990699.99999999,8785400.0,17005033.635368086,17005033.635368086,13.070422535211268,57,30
