experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,59,250484,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22645200000.0,12257700000.0,165,182,32,1350000000.0,0.0,90000000.0,9000000.0,46017000.0,22645200.0,21471537.83407234,21471537.83407234,5.880281690140845,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,60,250485,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22582337500.0,12194837500.0,191,178,24,1386000000.0,0.0,90000000.0,81000000.0,43911000.0,22582337.5,20032875.52854916,20032875.52854916,5.322368421052632,41,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,61,250486,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22568500000.0,12181000000.0,161,193,31,1458000000.0,0.0,90000000.0,72000000.0,46872000.0,22568500.0,21317812.56953912,21317812.56953912,6.0359712230215825,38,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,62,250487,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22613500000.0,12226000000.0,181,174,33,1269000000.0,0.0,90000000.0,9000000.0,44820000.0,22613500.0,21333151.261592835,21333151.261592835,5.7272727272727275,24,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,63,250488,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22553450000.0,12165950000.0,167,183,32,1359000000.0,0.0,90000000.0,90000000.0,46566000.0,22553450.0,21666462.57692981,21666462.57692981,6.407692307692308,21,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,64,250489,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22546200000.0,12158700000.0,178,166,28,1242000000.0,0.0,90000000.0,90000000.0,44685000.0,22546200.0,21095210.0145981,21095210.0145981,5.591836734693878,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,65,250490,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22599525000.0,12212025000.0,154,254,33,1989000000.0,0.0,90000000.0,27000000.0,51012000.0,22599525.0,21151474.064160988,21151474.064160988,6.768,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,66,250491,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22618200000.0,12230700000.0,162,211,28,1647000000.0,0.0,90000000.0,18000000.0,47925000.0,22618200.0,20955489.704609625,20955489.704609625,6.496124031007752,34,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,67,250492,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22592937500.0,12205437500.0,162,173,32,1269000000.0,0.0,90000000.0,18000000.0,45594000.0,22592937.5,21647692.810721047,21647692.810721047,5.739726027397261,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,68,250493,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22558287500.0,12170787500.0,158,210,38,1548000000.0,0.0,90000000.0,90000000.0,47934000.0,22558287.5,21602565.04384592,21602565.04384592,6.330827067669173,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,69,250494,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22649100000.0,12261600000.0,149,202,35,1503000000.0,0.0,90000000.0,0.0,48681000.0,22649100.0,22220751.656728446,22220751.656728446,6.546153846153846,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,70,250495,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22613500000.0,12226000000.0,165,190,32,1422000000.0,0.0,90000000.0,27000000.0,46287000.0,22613500.0,21368370.14725269,21368370.14725269,5.964285714285714,27,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,71,250496,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22591737500.0,12204237500.0,147,219,36,1647000000.0,0.0,90000000.0,18000000.0,49608000.0,22591737.5,22078200.914869484,22078200.914869484,6.561538461538461,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,72,250497,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22628550000.0,12241050000.0,163,216,35,1629000000.0,0.0,90000000.0,9000000.0,48636000.0,22628550.0,21658789.610629216,21658789.610629216,6.5390625,31,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,73,250498,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22698937500.0,12311437500.0,160,198,32,1494000000.0,0.0,90000000.0,0.0,46737000.0,22698937.5,21436476.279401515,21436476.279401515,5.957446808510638,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,74,250499,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22609200000.0,12221700000.0,148,240,30,1890000000.0,0.0,90000000.0,18000000.0,50049000.0,22609200.0,20905960.76146705,20905960.76146705,6.5038167938931295,31,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,75,250500,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22633250000.0,12245750000.0,168,221,34,1683000000.0,0.0,90000000.0,18000000.0,48150000.0,22633250.0,21237272.233916953,21237272.233916953,6.117647058823529,37,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,76,250501,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22556550000.0,12169050000.0,164,179,35,1296000000.0,0.0,90000000.0,90000000.0,46224000.0,22556550.0,21708281.705319285,21708281.705319285,6.014388489208633,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,77,250502,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22658900000.0,12271400000.0,151,225,34,1719000000.0,0.0,90000000.0,0.0,49266000.0,22658900.0,21473617.90174166,21473617.90174166,6.383458646616542,35,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,78,250503,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22652187500.0,12264687500.0,167,189,33,1404000000.0,0.0,90000000.0,18000000.0,46224000.0,22652187.5,21534536.630052984,21534536.630052984,5.784722222222222,28,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,79,250504,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22581525000.0,12194025000.0,167,200,36,1476000000.0,0.0,90000000.0,45000000.0,47448000.0,22581525.0,21777214.64597516,21777214.64597516,6.17037037037037,27,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,80,250505,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22642250000.0,12254750000.0,151,225,36,1701000000.0,0.0,90000000.0,18000000.0,50031000.0,22642250.0,21991933.80395412,21991933.80395412,6.959016393442623,30,10
